GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0005524	F	ATP binding	24	31	3611	31449	3.4e-17	1.8e-16	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0016740	F	transferase activity	26	31	4886	31449	7.6e-17	3.3e-16	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0030554	F	adenyl nucleotide binding	24	31	3806	31449	1.2e-16	3.7e-16	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0032559	F	adenyl ribonucleotide binding	24	31	3798	31449	1.1e-16	3.7e-16	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0035639	F	purine ribonucleoside triphosphate binding	24	31	4120	31449	7.1e-16	2.1e-15	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0001882	F	nucleoside binding	24	31	4344	31449	2.4e-15	4.1e-15	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0001883	F	purine nucleoside binding	24	31	4307	31449	2e-15	4.1e-15	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0032549	F	ribonucleoside binding	24	31	4341	31449	2.4e-15	4.1e-15	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0017076	F	purine nucleotide binding	24	31	4324	31449	2.1e-15	4.1e-15	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0032550	F	purine ribonucleoside binding	24	31	4307	31449	2e-15	4.1e-15	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0032555	F	purine ribonucleotide binding	24	31	4307	31449	2e-15	4.1e-15	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
