GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0044262	P	cellular carbohydrate metabolic process	3	41	288	31449	0.0064	0.0067	// Niben101Scf01685g12005.1 // Niben101Scf13823g03007.1 // Niben101Scf08633g00003.1 
GO:0005975	P	carbohydrate metabolic process	3	41	1362	31449	0.26	0.26	// Niben101Scf01685g12005.1 // Niben101Scf13823g03007.1 // Niben101Scf08633g00003.1 
GO:0004672	F	protein kinase activity	30	41	1887	31449	4.5e-28	1.4e-26	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0016773	F	phosphotransferase activity, alcohol group as acceptor	30	41	2142	31449	1.8e-26	2.9e-25	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0016301	F	kinase activity	30	41	2179	31449	2.9e-26	3.1e-25	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0016772	F	transferase activity, transferring phosphorus-containing groups	30	41	2697	31449	1.4e-23	1.1e-22	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0016740	F	transferase activity	33	41	4886	31449	5.8e-20	3.2e-19	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf08633g00003.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0005524	F	ATP binding	30	41	3611	31449	6.1e-20	3.2e-19	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0030554	F	adenyl nucleotide binding	30	41	3806	31449	2.7e-19	1.1e-18	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0032559	F	adenyl ribonucleotide binding	30	41	3798	31449	2.6e-19	1.1e-18	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
